BARANGAY,DRY,,,,,DRY,,,,,DRY,,,,
,,,,,,,,,,,,,,,
,AREA HECTARE,,,,,PRODUCTION,,,,,AVERAGE YIELD,,,,
,,,,,,,,,,,,,,,
YEAR,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021
Labasan,265,130,265,265,265,1285,557.5,1271.3,1264.5,1214.5,4.84,4.28,4.79,4.77,4.58
Libertad,265,150,265,265,265,1248.75,645,1202.25,1224.5,1215,4.71,4.3,4.53,4.62,4.58
Sta. Cruz,48,25,78,48,48,212.25,101.25,188.6,204,209.5,4.42,4.05,3.92,4.25,4.36
Sagana,316,171,316,316,316,1527.25,749,1541.5,1534.75,1422,4.83,4.38,4.87,4.85,4.50
San Isidro,177,89,177,177,177,857.5,384.25,856,853.5,796,4.84,4.31,4.83,4.82,4.49
Anilao,657.5,100,657.5,657.5,657.5,3437.5,454.35,3852.4,3755.25,3539.5,5.22,4.54,5.85,5.71,5.38
Masaguisi,316,116,316,316,316,1635,515,1676,1708,1674,5.17,4.43,5.3,5.4,5.29
Mina de Oro,225,100,225,225,225,1117.5,444.5,1072,1101.1,1202,4.96,4.44,4.76,4.89,5.34
Polusahi,201.5,150,201.5,201.5,201.5,1001.95,600,969.5,981,996,4.97,4,4.81,4.86,4.94
Dayhagan,422,380,422,422,422,1909,1774,2068.5,2169.1,2318.5,4.52,4.66,4.9,5.14,5.49
Camantigue,275,210,275,275,275,1245,1012,1359.5,1389.7,1637.5,4.52,4.81,4.94,5.05,5.95
Cawayan,344,254,344,344,344,1545.5,1061.2,1600.5,1623.15,1835,4.49,4.17,4.65,4.71,5.33
Malitbog,300.5,255,300.5,300.5,300.5,1420.25,1067,1423,1445.75,1324,4.72,4.18,4.73,4.81,4.40
Orconuma,260,72,260,260,260,1281.5,317.5,1247.6,1303.55,1332,4.92,4.4,4.79,5.01,5.12
Ogbot,93,70.5,345,345,345,1625.5,326.4,1685,1725.75,1787,4.71,4.53,4.88,5,5.18
Labonan,105,55,266,266,266,1268.5,252.5,1279,1308,1287,4.76,4.58,4.8,4.91,4.83
Lisap,187,12,26,26,26,95.5,44.2,85.5,97,102,3.67,3.68,3.28,3.73,3.92
Mapang,93,70.5,93,93,93,403,267.85,348,355.5,353,4.33,3.79,3.74,3.82,3.79
Hagupit,10,43,83,83,83,39,160,313,312.5,316,3.9,3.72,3.77,3.76,3.80
Sigange,93,56,93,93,93,359.5,214,345.5,354.5,358,3.86,3.82,3.71,3.81,3.84
Carmundo,118,64,118,118,118,448.5,245.6,445.5,447.5,459,3.8,3.83,3.77,3.79,3.89
Tawas,86.5,30,86.5,86.5,86.5,302.5,114,322.5,322.75,326.25,3.49,3.8,3.72,3.73,3.77
Hagan,96,64,96,96,96,407.5,243.2,358.5,365.5,373.5,4.24,3.8,3.73,3.8,3.89
Kaligtasan,257,130,257,257,257,1196.5,557.5,1257,1243.3,1364,4.65,4.28,4.89,4.83,5.30
San Jose,115,55,115,115,115,530,235,550.5,538.2,,4.6,4.27,4.78,4.68,4.46
Luna ,,,,,,,,,,,,,,,
San Juan,,,21,21,21,,,77,81,,,,3.66,3.85,3.81
